main.cpp:7:main| ***** main start *****  
main.cpp:9:main| ========== cpp_test() start ==========  
skp_cpp.cpp:178:cpp_test| ========== cpp_lib_test() start ==========  
skp_cpp.cpp:178:cpp_test| ========== cpp_lib_test() end ==========  
skp_cpp.cpp:179:cpp_test| ========== allocator_test() start ==========  
skp_cpp.cpp:179:cpp_test| ========== allocator_test() end ==========  
skp_cpp.cpp:180:cpp_test| ========== allocator_make_test() start ==========  
skp_cpp.cpp:180:cpp_test| ========== allocator_make_test() end ==========  
skp_cpp.cpp:181:cpp_test| ========== move_forward_test() start ==========  
skp_cpp.cpp:120:move_forward_test| ========== fun_test(1) start ==========  
skp_cpp.cpp:83:fun_test|in t = 1 
skp_cpp.cpp:84:fun_test| ========== fun(t) start ==========  
skp_cpp.cpp:34:fun|lvalue ref 
skp_cpp.cpp:84:fun_test| ========== fun(t) end ==========  
skp_cpp.cpp:85:fun_test|out t = 10 
skp_cpp.cpp:120:move_forward_test| ========== fun_test(1) end ==========  
skp_cpp.cpp:121:move_forward_test| ========== fun_forward_test(1) start ==========  
skp_cpp.cpp:91:fun_forward_test|in t = 1 
skp_cpp.cpp:92:fun_forward_test| ========== fun(std::forward<T>(t)) start ==========  
skp_cpp.cpp:40:fun|rvalue ref 
skp_cpp.cpp:92:fun_forward_test| ========== fun(std::forward<T>(t)) end ==========  
skp_cpp.cpp:93:fun_forward_test|out t = 11 
skp_cpp.cpp:121:move_forward_test| ========== fun_forward_test(1) end ==========  
skp_cpp.cpp:122:move_forward_test| ========== fun_test_1(1) start ==========  
skp_cpp.cpp:99:fun_test_1|in t = 1 
skp_cpp.cpp:100:fun_test_1| ========== fun_1(t) start ==========  
skp_cpp.cpp:56:fun_1|lvalue ref 
skp_cpp.cpp:100:fun_test_1| ========== fun_1(t) end ==========  
skp_cpp.cpp:101:fun_test_1|out t = 20 
skp_cpp.cpp:122:move_forward_test| ========== fun_test_1(1) end ==========  
skp_cpp.cpp:123:move_forward_test| ========== fun_forward_test_1(1) start ==========  
skp_cpp.cpp:107:fun_forward_test_1|in t = 1 
skp_cpp.cpp:108:fun_forward_test_1| ========== fun_1(std::forward<T>(t)) start ==========  
skp_cpp.cpp:63:fun_1|rvalue ref 
skp_cpp.cpp:108:fun_forward_test_1| ========== fun_1(std::forward<T>(t)) end ==========  
skp_cpp.cpp:109:fun_forward_test_1|out t = 21 
skp_cpp.cpp:123:move_forward_test| ========== fun_forward_test_1(1) end ==========  
skp_cpp.cpp:126:move_forward_test| ========== fun_test(n) start ==========  
skp_cpp.cpp:83:fun_test|in t = 2 
skp_cpp.cpp:84:fun_test| ========== fun(t) start ==========  
skp_cpp.cpp:34:fun|lvalue ref 
skp_cpp.cpp:84:fun_test| ========== fun(t) end ==========  
skp_cpp.cpp:85:fun_test|out t = 10 
skp_cpp.cpp:126:move_forward_test| ========== fun_test(n) end ==========  
skp_cpp.cpp:127:move_forward_test| ========== fun_forward_test(n) start ==========  
skp_cpp.cpp:91:fun_forward_test|in t = 10 
skp_cpp.cpp:92:fun_forward_test| ========== fun(std::forward<T>(t)) start ==========  
skp_cpp.cpp:34:fun|lvalue ref 
skp_cpp.cpp:92:fun_forward_test| ========== fun(std::forward<T>(t)) end ==========  
skp_cpp.cpp:93:fun_forward_test|out t = 10 
skp_cpp.cpp:127:move_forward_test| ========== fun_forward_test(n) end ==========  
skp_cpp.cpp:128:move_forward_test| ========== fun_test_1(n) start ==========  
skp_cpp.cpp:99:fun_test_1|in t = 10 
skp_cpp.cpp:100:fun_test_1| ========== fun_1(t) start ==========  
skp_cpp.cpp:56:fun_1|lvalue ref 
skp_cpp.cpp:100:fun_test_1| ========== fun_1(t) end ==========  
skp_cpp.cpp:101:fun_test_1|out t = 20 
skp_cpp.cpp:128:move_forward_test| ========== fun_test_1(n) end ==========  
skp_cpp.cpp:129:move_forward_test| ========== fun_forward_test_1(n) start ==========  
skp_cpp.cpp:107:fun_forward_test_1|in t = 20 
skp_cpp.cpp:108:fun_forward_test_1| ========== fun_1(std::forward<T>(t)) start ==========  
skp_cpp.cpp:56:fun_1|lvalue ref 
skp_cpp.cpp:108:fun_forward_test_1| ========== fun_1(std::forward<T>(t)) end ==========  
skp_cpp.cpp:109:fun_forward_test_1|out t = 20 
skp_cpp.cpp:129:move_forward_test| ========== fun_forward_test_1(n) end ==========  
skp_cpp.cpp:131:move_forward_test| ========== fun_test(std::move(n)) start ==========  
skp_cpp.cpp:83:fun_test|in t = 20 
skp_cpp.cpp:84:fun_test| ========== fun(t) start ==========  
skp_cpp.cpp:34:fun|lvalue ref 
skp_cpp.cpp:84:fun_test| ========== fun(t) end ==========  
skp_cpp.cpp:85:fun_test|out t = 10 
skp_cpp.cpp:131:move_forward_test| ========== fun_test(std::move(n)) end ==========  
skp_cpp.cpp:132:move_forward_test| ========== fun_forward_test(std::move(n)) start ==========  
skp_cpp.cpp:91:fun_forward_test|in t = 10 
skp_cpp.cpp:92:fun_forward_test| ========== fun(std::forward<T>(t)) start ==========  
skp_cpp.cpp:40:fun|rvalue ref 
skp_cpp.cpp:92:fun_forward_test| ========== fun(std::forward<T>(t)) end ==========  
skp_cpp.cpp:93:fun_forward_test|out t = 11 
skp_cpp.cpp:132:move_forward_test| ========== fun_forward_test(std::move(n)) end ==========  
skp_cpp.cpp:133:move_forward_test| ========== fun_test_1(std::move(n)) start ==========  
skp_cpp.cpp:99:fun_test_1|in t = 11 
skp_cpp.cpp:100:fun_test_1| ========== fun_1(t) start ==========  
skp_cpp.cpp:56:fun_1|lvalue ref 
skp_cpp.cpp:100:fun_test_1| ========== fun_1(t) end ==========  
skp_cpp.cpp:101:fun_test_1|out t = 20 
skp_cpp.cpp:133:move_forward_test| ========== fun_test_1(std::move(n)) end ==========  
skp_cpp.cpp:134:move_forward_test| ========== fun_forward_test_1(std::move(n)) start ==========  
skp_cpp.cpp:107:fun_forward_test_1|in t = 20 
skp_cpp.cpp:108:fun_forward_test_1| ========== fun_1(std::forward<T>(t)) start ==========  
skp_cpp.cpp:63:fun_1|rvalue ref 
skp_cpp.cpp:108:fun_forward_test_1| ========== fun_1(std::forward<T>(t)) end ==========  
skp_cpp.cpp:109:fun_forward_test_1|out t = 21 
skp_cpp.cpp:134:move_forward_test| ========== fun_forward_test_1(std::move(n)) end ==========  
skp_cpp.cpp:137:move_forward_test| ========== fun_test(m) start ==========  
skp_cpp.cpp:83:fun_test|in t = 3 
skp_cpp.cpp:84:fun_test| ========== fun(t) start ==========  
skp_cpp.cpp:46:fun|const lvalue ref 
skp_cpp.cpp:84:fun_test| ========== fun(t) end ==========  
skp_cpp.cpp:85:fun_test|out t = 3 
skp_cpp.cpp:137:move_forward_test| ========== fun_test(m) end ==========  
skp_cpp.cpp:138:move_forward_test| ========== fun_forward_test(m) start ==========  
skp_cpp.cpp:91:fun_forward_test|in t = 3 
skp_cpp.cpp:92:fun_forward_test| ========== fun(std::forward<T>(t)) start ==========  
skp_cpp.cpp:46:fun|const lvalue ref 
skp_cpp.cpp:92:fun_forward_test| ========== fun(std::forward<T>(t)) end ==========  
skp_cpp.cpp:93:fun_forward_test|out t = 3 
skp_cpp.cpp:138:move_forward_test| ========== fun_forward_test(m) end ==========  
skp_cpp.cpp:139:move_forward_test| ========== fun_test_1(m) start ==========  
skp_cpp.cpp:99:fun_test_1|in t = 3 
skp_cpp.cpp:100:fun_test_1| ========== fun_1(t) start ==========  
skp_cpp.cpp:70:fun_1|const lvalue ref 
skp_cpp.cpp:100:fun_test_1| ========== fun_1(t) end ==========  
skp_cpp.cpp:101:fun_test_1|out t = 3 
skp_cpp.cpp:139:move_forward_test| ========== fun_test_1(m) end ==========  
skp_cpp.cpp:140:move_forward_test| ========== fun_forward_test_1(m) start ==========  
skp_cpp.cpp:107:fun_forward_test_1|in t = 3 
skp_cpp.cpp:108:fun_forward_test_1| ========== fun_1(std::forward<T>(t)) start ==========  
skp_cpp.cpp:70:fun_1|const lvalue ref 
skp_cpp.cpp:108:fun_forward_test_1| ========== fun_1(std::forward<T>(t)) end ==========  
skp_cpp.cpp:109:fun_forward_test_1|out t = 3 
